"countyname","state","numberofplans1","numberofplans2","countyssa","eligibles","totalenrollees","totalpenetration"
"Unusual SCounty Code","99",40,0,"99zzz",416345,2145,0.515197732649606
"ANCHORAGE","AK",0,0,"2020",22404,0,0
"DENALI","AK",0,0,"2068",0,0,0
"FAIRBANKS NORTH STAR","AK",0,0,"2090",5881,0,0
"JUNEAU","AK",0,0,"2110",3245,0,0
"KENAI PENINSULA","AK",0,0,"2122",0,0,0
"KETCHIKAN GATEWAY","AK",0,0,"2130",1537,0,0
"KODIAK ISLAND","AK",0,0,"2150",459,0,0
"MATANUSKA SUSITNA","AK",0,0,"2170",6071,0,0
"PRINCE WALES KETCHIK","AK",0,0,"2201",0,0,0
"SITKA BOROUGH","AK",0,0,"2220",961,0,0
"VALDEZ CORDOVA","AK",0,0,"2261",0,0,0
"WRANGELL PETERSBURG","AK",0,0,"2280",784,0,0
"YUKON KOYUKUK","AK",0,0,"2290",486,0,0
"AUTAUGA","AL",4,2,"1000",6883,529,7.68560220833939
"BALDWIN","AL",5,2,"1010",30437,2713,8.91349344547754
"BARBOUR","AL",1,1,"1020",4698,102,2.17113665389527
"BIBB","AL",3,3,"1030",3840,590,15.3645833333333
"BLOUNT","AL",5,3,"1040",7191,1998,27.7847309136421
"BULLOCK","AL",1,1,"1050",1880,32,1.70212765957447
"BUTLER","AL",1,0,"1060",4228,21,0.496688741721854
"CALHOUN","AL",1,1,"1070",23224,841,3.62125387530141
"CHAMBERS","AL",0,0,"1080",7380,0,0
"CHEROKEE","AL",1,1,"1090",4477,28,0.625418807236989
"CHILTON","AL",4,2,"1100",6287,1447,23.0157467790679
"CHOCTAW","AL",0,0,"1110",3185,0,0
"CLARKE","AL",0,0,"1120",5492,0,0
"CLAY","AL",1,1,"1130",3007,64,2.12836714333222
"CLEBURNE","AL",1,1,"1140",2752,73,2.65261627906977
"COFFEE","AL",0,0,"1150",8093,0,0
"COLBERT","AL",0,0,"1160",11375,0,0
"CONECUH","AL",1,1,"1170",2865,272,9.49389179755672
"COOSA","AL",1,1,"1180",2392,134,5.60200668896321
"COVINGTON","AL",0,0,"1190",8425,0,0
"CRENSHAW","AL",1,1,"1200",2996,17,0.567423230974633
"CULLMAN","AL",2,1,"1210",14850,640,4.30976430976431
"DALE","AL",0,0,"1220",10774,0,0
"DALLAS","AL",1,1,"1230",9372,967,10.31796841656
"DE KALB","AL",1,0,"1240",11741,25,0.21292905203986
"ELMORE","AL",4,3,"1250",11205,919,8.20169567157519
"ESCAMBIA","AL",1,1,"1260",6952,36,0.517836593785961
"ETOWAH","AL",3,1,"1270",20865,133,0.637431104720824
"FAYETTE","AL",2,2,"1280",3535,54,1.52758132956153
"FRANKLIN","AL",0,0,"1290",6525,0,0
"GENEVA","AL",0,0,"1300",5672,0,0
"GREENE","AL",0,0,"1310",1906,0,0
"HALE","AL",0,0,"1320",3513,0,0
"HENRY","AL",1,1,"1330",3421,18,0.526161940952938
"HOUSTON","AL",0,0,"1340",13972,0,0
"JACKSON","AL",0,0,"1350",10670,0,0
"JEFFERSON","AL",8,4,"1360",117060,32918,28.1206219032975
"LAMAR","AL",1,1,"1370",3583,33,0.921015908456601
"LAUDERDALE","AL",0,0,"1380",17812,0,0
"LAWRENCE","AL",0,0,"1390",5013,0,0
"LEE","AL",1,1,"1400",12988,81,0.623652602402217
"LIMESTONE","AL",0,0,"1410",9879,0,0
"LOWNDES","AL",3,3,"1420",1975,317,16.0506329113924
"MACON","AL",1,1,"1430",3898,307,7.87583376090303
"MADISON","AL",5,0,"1440",43086,123,0.285475560506893
"MARENGO","AL",0,0,"1450",3928,0,0
"MARION","AL",2,2,"1460",6356,228,3.58716173694147
"MARSHALL","AL",0,0,"1470",17198,0,0
"MOBILE","AL",7,2,"1480",64016,15302,23.9033991502124
"MONROE","AL",1,1,"1490",4160,49,1.17788461538462
"MONTGOMERY","AL",6,3,"1500",33936,3241,9.5503300330033
"MORGAN","AL",1,0,"1510",20178,42,0.208147487362474
"PERRY","AL",1,1,"1520",2128,41,1.92669172932331
"PICKENS","AL",0,0,"1530",4361,0,0
"PIKE","AL",1,0,"1540",5433,13,0.239278483342536
"RANDOLPH","AL",1,0,"1550",4494,15,0.333778371161549
"RUSSELL","AL",2,2,"1560",9324,232,2.48820248820249
"SAINT CLAIR","AL",5,3,"1570",9931,2687,27.0566911690666
"SHELBY","AL",7,4,"1580",15180,4486,29.5520421607378
"SUMTER","AL",0,0,"1590",2768,0,0
"TALLADEGA","AL",1,1,"1600",15674,1887,12.0390455531453
"TALLAPOOSA","AL",0,0,"1610",8283,0,0
"TUSCALOOSA","AL",6,0,"1620",25499,210,0.823561708302286
"WALKER","AL",5,3,"1630",16145,2545,15.7633942397027
"WASHINGTON","AL",2,1,"1640",3320,236,7.10843373493976
"WILCOX","AL",1,1,"1650",2692,213,7.91233283803863
"WINSTON","AL",3,1,"1660",5223,239,4.57591422554088
"ARKANSAS","AR",0,0,"4000",3965,0,0
"ASHLEY","AR",0,0,"4010",4394,0,0
"BAXTER","AR",1,0,"4020",12605,38,0.301467671558905
"BENTON","AR",4,1,"4030",26899,477,1.77330012268114
"BOONE","AR",2,0,"4040",8323,51,0.612759822179503
"BRADLEY","AR",0,0,"4050",2468,0,0
"CALHOUN","AR",0,0,"4060",933,0,0
"CARROLL","AR",1,0,"4070",5019,21,0.418410041841004
"CHICOT","AR",0,0,"4080",2727,0,0
"CLARK","AR",2,0,"4090",4190,28,0.668257756563246
"CLAY","AR",0,0,"4100",4091,0,0
"CLEBURNE","AR",0,0,"4110",6348,0,0
"CLEVELAND","AR",0,0,"4120",1568,0,0
"COLUMBIA","AR",0,0,"4130",5095,0,0
"CONWAY","AR",0,0,"4140",5052,0,0
"CRAIGHEAD","AR",0,0,"4150",13327,0,0
"CRAWFORD","AR",3,1,"4160",9754,149,1.52757842936231
"CRITTENDEN","AR",1,0,"4170",6911,23,0.332802778179714
"CROSS","AR",0,0,"4180",3261,0,0
"DESHA","AR",1,0,"4200",2614,12,0.459066564651875
"DREW","AR",0,0,"4210",2879,0,0
"FAULKNER","AR",1,0,"4220",12090,45,0.372208436724566
"FRANKLIN","AR",4,2,"4230",3528,70,1.98412698412698
"FULTON","AR",0,0,"4240",3167,0,0
"GARLAND","AR",1,0,"4250",25148,14,0.0556704310481947
"GRANT","AR",0,0,"4260",2631,0,0
"GREENE","AR",0,0,"4270",7163,0,0
"HEMPSTEAD","AR",0,0,"4280",3694,0,0
"HOT SPRING","AR",0,0,"4290",5788,0,0
"HOWARD","AR",0,0,"4300",2735,0,0
"INDEPENDENCE","AR",0,0,"4310",6915,0,0
"IZARD","AR",0,0,"4320",3479,0,0
"JACKSON","AR",0,0,"4330",4356,0,0
"JEFFERSON","AR",1,1,"4340",13337,85,0.637324735697683
"JOHNSON","AR",2,1,"4350",4404,47,1.06721162579473
"LAWRENCE","AR",0,0,"4370",4285,0,0
"LEE","AR",0,0,"4380",1947,0,0
"LITTLE RIVER","AR",0,0,"4400",2587,0,0
"LOGAN","AR",2,1,"4410",4846,37,0.763516302104829
"LONOKE","AR",1,0,"4420",8176,25,0.305772994129158
"MADISON","AR",0,0,"4430",2881,0,0
"MARION","AR",1,1,"4440",3878,42,1.08303249097473
"MILLER","AR",0,0,"4450",7181,0,0
"MISSISSIPPI","AR",0,0,"4460",8100,0,0
"MONROE","AR",0,0,"4470",1983,0,0
"MONTGOMERY","AR",0,0,"4480",1970,0,0
"NEVADA","AR",0,0,"4490",1937,0,0
"NEWTON","AR",0,0,"4500",1830,0,0
"OUACHITA","AR",1,0,"4510",6002,26,0.433188937020993
"PERRY","AR",0,0,"4520",2111,0,0
"PHILLIPS","AR",1,0,"4530",4565,23,0.503833515881709
"PIKE","AR",0,0,"4540",2225,0,0
"POINSETT","AR",0,0,"4550",5027,0,0
"POLK","AR",0,0,"4560",4512,0,0
"POPE","AR",0,0,"4570",9403,0,0
"PRAIRIE","AR",0,0,"4580",1778,0,0
"PULASKI","AR",3,1,"4590",57563,367,0.637562323019995
"RANDOLPH","AR",0,0,"4600",3872,0,0
"SAINT FRANCIS","AR",1,0,"4610",4775,22,0.460732984293194
"SALINE","AR",1,1,"4620",10103,57,0.564188854795605
"SCOTT","AR",0,0,"4630",2455,0,0
"SEARCY","AR",0,0,"4640",2177,0,0
"SEBASTIAN","AR",6,1,"4650",19394,334,1.72218211818088
"SEVIER","AR",0,0,"4660",2514,0,0
"SHARP","AR",1,0,"4670",5158,13,0.252035672741373
"STONE","AR",0,0,"4680",3007,0,0
"UNION","AR",0,0,"4690",9010,0,0
"VAN BUREN","AR",1,0,"4700",4313,13,0.301414328773476
"WASHINGTON","AR",4,1,"4710",22504,248,1.10202630643441
"WHITE","AR",1,0,"4720",13100,39,0.297709923664122
"WOODRUFF","AR",0,0,"4730",1739,0,0
"YELL","AR",0,0,"4740",4325,0,0
"AMERICAN SOMOA","AS",0,0,"ASzzz",3259,0,0
"APACHE","AZ",2,1,"3000",8096,64,0.790513833992095
"COCHISE","AZ",8,5,"3010",22303,2164,9.70273057436219
"COCONINO","AZ",4,1,"3020",15983,277,1.73309140962272
"GILA","AZ",7,4,"3030",12673,653,5.15268681448749
"GRAHAM","AZ",4,3,"3040",4836,314,6.4929693961952
"GREENLEE","AZ",1,1,"3050",1147,31,2.7027027027027
"LA PAZ","AZ",5,2,"3055",4328,140,3.23475046210721
"MARICOPA","AZ",43,6,"3060",436805,152826,34.9872368677098
"MOHAVE","AZ",19,4,"3070",42708,2627,6.15107239861384
"NAVAJO","AZ",7,2,"3080",14607,482,3.29978777298555
"PIMA","AZ",14,4,"3090",149289,51219,34.3086228724152
"PINAL","AZ",12,4,"3100",31920,9856,30.8771929824561
"SANTA CRUZ","AZ",5,3,"3110",5886,1672,28.4063880394156
"YAVAPAI","AZ",14,1,"3120",44858,1993,4.44290873422801
"YUMA","AZ",12,1,"3130",23200,1473,6.34913793103448
"ALAMEDA","CA",13,4,"5000",170559,63654,37.3208098077498
"ALPINE","CA",0,0,"5010",149,0,0
"AMADOR","CA",3,1,"5020",7786,1068,13.7169278191626
"BUTTE","CA",5,1,"5030",39395,629,1.59664932097982
"CALAVERAS","CA",4,2,"5040",9231,681,7.37731556711082
"COLUSA","CA",1,1,"5050",3115,41,1.31621187800963
"CONTRA COSTA","CA",11,5,"5060",131990,54909,41.6008788544587
"DEL NORTE","CA",1,0,"5070",4940,21,0.425101214574899
"EL DORADO","CA",5,1,"5080",27194,6125,22.5233507391336
"FRESNO","CA",7,3,"5090",101516,20781,20.4706647228023
"GLENN","CA",2,1,"5100",4248,36,0.847457627118644
"HUMBOLDT","CA",3,0,"5110",21660,96,0.443213296398892
"IMPERIAL","CA",7,1,"5120",20897,377,1.80408671101115
"INYO","CA",1,1,"5130",3637,23,0.632389331866923
"KERN","CA",11,5,"5140",86514,27307,31.5636775550778
"KINGS","CA",3,1,"5150",12616,798,6.32530120481928
"LAKE","CA",5,2,"5160",13251,828,6.24858501245189
"LASSEN","CA",1,1,"5170",4243,38,0.895592740985152
"LOS ANGELES","CA",36,8,"5200",1099158,365226,33.2277980053823
"MADERA","CA",4,2,"5300",20470,4273,20.8744504152418
"MARIN","CA",6,2,"5310",38936,12996,33.3778508321348
"MARIPOSA","CA",2,2,"5320",3507,201,5.73139435414885
"MENDOCINO","CA",4,1,"5330",15682,367,2.34026272159163
"MERCED","CA",4,1,"5340",23627,408,1.72683793964532
"MODOC","CA",0,0,"5350",1964,0,0
"MONO","CA",1,1,"5360",1152,14,1.21527777777778
"MONTEREY","CA",4,1,"5370",45816,410,0.894883883359525
"NAPA","CA",3,2,"5380",23019,6718,29.1845866458143
"NEVADA","CA",5,4,"5390",18037,1974,10.9441703165715
"ORANGE","CA",23,8,"5400",333983,121790,36.4659279065102
"PLACER","CA",7,4,"5410",47415,21558,45.4666244859222
"PLUMAS","CA",3,2,"5420",4372,166,3.79688929551693
"RIVERSIDE","CA",23,6,"5430",241623,103398,42.7931115829205
"SACRAMENTO","CA",11,4,"5440",174298,68762,39.4508255975398
"SAN BENITO","CA",2,2,"5450",5227,190,3.63497225942223
"SAN BERNARDINO","CA",21,9,"5460",194264,83331,42.8957501132479
"SAN DIEGO","CA",20,3,"5470",368302,141742,38.4852648098571
"SAN FRANCISCO","CA",8,4,"5480",125493,38854,30.9610894631573
"SAN JOAQUIN","CA",7,1,"5490",77668,15327,19.7339959829016
"SAN LUIS OBISPO","CA",5,1,"5500",42102,4044,9.6052444064415
"SAN MATEO","CA",6,4,"5510",97981,32584,33.2554270725957
"SANTA BARBARA","CA",7,3,"5520",58625,10417,17.7688699360341
"SANTA CLARA","CA",7,3,"5530",190866,66680,34.9355044900611
"SANTA CRUZ","CA",5,2,"5540",30255,4023,13.2969757064948
"SHASTA","CA",5,0,"5550",36633,260,0.70974258182513
"SIERRA","CA",0,0,"5560",698,0,0
"SISKIYOU","CA",3,1,"5570",10425,92,0.882494004796163
"SOLANO","CA",7,3,"5580",47643,16889,35.4490691182335
"SONOMA","CA",5,3,"5590",68048,20528,30.1669409828356
"STANISLAUS","CA",5,2,"5600",62909,22208,35.3017851181866
"SUTTER","CA",3,1,"5610",12666,308,2.43170693194379
"TEHAMA","CA",2,1,"5620",10388,109,1.04928763958414
"TRINITY","CA",1,1,"5630",3553,32,0.900647340275823
"TULARE","CA",6,2,"5640",46298,1506,3.25284029547713
"TUOLUMNE","CA",4,1,"5650",12039,568,4.71799983387324
"VENTURA","CA",12,3,"5660",98577,22548,22.8734897592745
"YOLO","CA",7,5,"5670",20464,7703,37.641712275215
